,favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
167,2842,Twitter for Android,There should be no further releases from Gitmo. These are extremely dangerous people and should not be allowed back onto the battlefield.,,False,Tue Jan 03 17:20:43 +0000 2017,779,816333480409833472
168,8920,Twitter for iPhone,"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for INNOVATION &amp; JOB CREATION.
https://t.co/siXrptsOrt",,False,Tue Jan 03 17:00:11 +0000 2017,2429,816328314759606272
169,5875,Twitter for iPhone,"""@DanScavino: Ford to scrap Mexico plant, invest in Michigan due to Trump policies""
https://t.co/137nUo03Gl",,True,Tue Jan 03 16:44:13 +0000 2017,2148,816324295781740544
170,15405,Twitter for Android,"........may be, their number one act and priority. Focus on tax reform, healthcare and so many other things of far greater importance! #DTS",,False,Tue Jan 03 15:07:41 +0000 2017,4252,816300003442495488
171,14663,Twitter for Android,"With all that Congress has to work on, do they really have to make the weakening of the Independent Ethics Watchdog, as unfair as it",,False,Tue Jan 03 15:03:29 +0000 2017,4641,816298944456232960
172,1918,Twitter for Android,"The Democrat Governor.of Minnesota said ""The Affordable Care Act (ObamaCare) is no longer affordable!"" - And, it is lousy healthcare.",,False,Tue Jan 03 12:51:15 +0000 2017,572,816265668958031872
173,1565,Twitter for Android,"People must remember that ObamaCare just doesn't work, and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",,False,Tue Jan 03 12:46:33 +0000 2017,514,816264484629184513
174,975,Twitter for Android,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,,False,Tue Jan 03 12:30:05 +0000 2017,317,816260343391514624
175,4005,Twitter for Android,"China has been taking out massive amounts of money &amp; wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",,False,Mon Jan 02 23:47:12 +0000 2017,1303,816068355555815424
176,7664,Twitter for Android,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,,False,Mon Jan 02 23:05:44 +0000 2017,2651,816057920223846400
177,20993,Twitter for Android,"I thought and felt I would win big, easily over the fabled 270 (306). When they cancelled fireworks, they knew, and so did I.",,False,Mon Jan 02 18:44:04 +0000 2017,4891,815992069412057088
178,16763,Twitter for Android,"Various media outlets and pundits say that I thought I was going to lose the election. Wrong, it all came together in the last week and.....",,False,Mon Jan 02 18:37:10 +0000 2017,3627,815990335318982656
179,3523,Twitter for Android,"@CNN just released a book called ""Unprecedented"" which explores the 2016 race &amp; victory. Hope it does well but used worst cover photo of me!",CNN,False,Mon Jan 02 18:32:29 +0000 2017,1175,815989154555297792
180,28701,Twitter for Android,"Chicago murder rate is record setting - 4,331 shooting victims with 762 murders in 2016. If Mayor can't do it he must ask for Federal help!",,False,Mon Jan 02 17:31:17 +0000 2017,8575,815973752785793024
181,80789,Twitter for Android,"Well, the New Year begins. We will, together, MAKE AMERICA GREAT AGAIN!",,False,Mon Jan 02 14:40:10 +0000 2017,19320,815930688889352192
182,0,Twitter for iPhone,"RT @IvankaTrump: 2016 has been one of the most eventful and exciting years of my life. I wish you peace, joy, love and laughter. Happy New…",,True,Sun Jan 01 06:49:49 +0000 2017,8350,815449933453127681
183,0,Twitter for iPhone,RT @DonaldJTrumpJr: Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq,,True,Sun Jan 01 06:49:33 +0000 2017,4902,815449868739211265
184,0,Twitter for iPhone,RT @EricTrump: 2016 was such an incredible year for our entire family! My beautiful wife @LaraLeaTrump made it even better! 🇺🇸🇺🇸 https://t.…,,True,Sun Jan 01 05:44:17 +0000 2017,4847,815433444591304704
185,0,Twitter for iPhone,RT @Reince: Happy New Year + God's blessings to you all.  Looking forward to incredible things in 2017!  @realDonaldTrump will Make America…,,True,Sun Jan 01 05:43:23 +0000 2017,5445,815433217595547648
186,0,Twitter for iPhone,"RT @DanScavino: On behalf of our next #POTUS &amp; @TeamTrump-

#HappyNewYear AMERICA🇺🇸

https://t.co/Y6XDdijXea
https://t.co/D8plL7xHql
https:…",,True,Sun Jan 01 05:39:13 +0000 2017,4098,815432169464197121
187,100131,Twitter for iPhone,"TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we… https://t.co/1asdMAL4iy",,False,Sun Jan 01 05:00:10 +0000 2017,28138,815422340540547073
188,537,Twitter for iPhone,.@VP Mike Pence will be speaking at today's #MarchForLife -- You have our full support! https://t.co/1jb53SEGV4,,False,Fri Jan 27 16:30:29 +0000 2017,154,825018149397463040
189,626,Twitter for iPhone,Statement on International Holocaust Remembrance Day: https://t.co/KjU0MOxCHk,,False,Fri Jan 27 20:20:15 +0000 2017,174,825075972659613696
190,11,Twitter for iPhone,Congratulations Secretary Mattis! https://t.co/mkuhbegzqS,,False,Fri Jan 27 22:00:47 +0000 2017,4,825101272982355968
191,338,Twitter for iPhone,I promise that our administration will ALWAYS have your back. We will ALWAYS be with you! https://t.co/D0aOWhOH4X,,False,Fri Jan 27 23:46:22 +0000 2017,117,825127844066054144
192,1,Twitter for Android,"The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!",,False,Sat Jan 28 13:04:58 +0000 2017,2,825328817833123840
193,22,Twitter for Android,Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its.....,,False,Sat Jan 28 13:08:42 +0000 2017,19,825329757646618624
194,918,Twitter for Android,"...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST",,False,Sat Jan 28 13:16:17 +0000 2017,209,825331665509691393
195,1,Twitter for iPhone,"Today, we remember the crew of the Space Shuttle Challenger, 31 years later. #NeverForget https://t.co/OhshQsFRfl",,False,Sat Jan 28 15:42:58 +0000 2017,1,825368580325773312
196,1300,Twitter for iPhone,I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,,False,Sat Jan 28 22:50:06 +0000 2017,305,825476070946328584
197,56,Twitter for Android,Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!,,False,Sun Jan 29 13:00:32 +0000 2017,41,825690087857995776
198,914,Twitter for Android,"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!",,False,Sun Jan 29 13:08:18 +0000 2017,301,825692045532618753
199,2,Twitter for Android,Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,,False,Sun Jan 29 15:03:58 +0000 2017,1,825721153142521858
200,1,Twitter for Android,The joint statement of former presidential candidates John McCain &amp; Lindsey Graham is wrong - they are sadly weak on immigration. The two...,,False,Sun Jan 29 21:45:58 +0000 2017,1,825822320128303110
201,357,Twitter for Android,"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III.",,False,Sun Jan 29 21:49:32 +0000 2017,143,825823217025691648
202,11,Twitter for iPhone,Statement Regarding Recent Executive Order Concerning Extreme Vetting: https://t.co/f6JO60I0Ul,,False,Sun Jan 29 23:28:50 +0000 2017,7,825848204633731074
203,3,Twitter for iPhone,I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,,False,Sun Jan 29 23:39:53 +0000 2017,3,825850987348914184
204,86,Twitter for Android,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,.....",,False,Mon Jan 30 12:16:30 +0000 2017,62,826041397232943104
205,12,Twitter for Android,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,,False,Mon Jan 30 12:20:49 +0000 2017,6,826042483155013632
206,2125,Twitter for Android,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,,False,Mon Jan 30 12:27:05 +0000 2017,545,826044059647107073
207,1,Twitter for Android,"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",,False,Mon Jan 30 13:31:00 +0000 2017,2,826060143825666051
208,591,Twitter for Android,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),,False,Mon Jan 30 13:43:25 +0000 2017,227,826063267760046080
209,6,Twitter for iPhone,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,,False,Mon Jan 30 14:23:49 +0000 2017,4,826073437735100418
210,4,Twitter for iPhone,"The American dream is back. We’re going to create an environment for small business like we haven’t had in many, ma… https://t.co/Bh7SrNEgz1",,False,Mon Jan 30 21:07:52 +0000 2017,4,826175120238604288
211,10,Twitter for Android,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,,False,Tue Jan 31 00:45:50 +0000 2017,7,826229971584708608
212,5,Twitter for Android,Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,,False,Tue Jan 31 11:21:52 +0000 2017,2,826390034693623809
213,1868,Twitter for Android,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,,False,Tue Jan 31 11:27:02 +0000 2017,461,826391334248407040
214,3075,Twitter for Android,Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.,,False,Wed Feb 01 00:31:08 +0000 2017,823,826588658304217088
215,2575,Twitter for iPhone,"Join me live from the @WhiteHouse.
https://t.co/LHOs4nAaGl",,False,Wed Feb 01 01:01:03 +0000 2017,593,826596187453153281
